title,date,publication,remove_tags,add_tags,source,notes
Town Talk.,30 October 1903,Blue Mountain Gazette,,horses | stock trespass,horses_reclassification_getty_aat,Item #7 - Stray animal court cases
Local Jottings.,25 May 1889,Katoomba Times,,horses | horseborne transportation | horseback riding,horses_reclassification_getty_aat,Item #8 - Jenolan Caves tourism route and recreational horsewoman
Mountain Mixtures.,20 November 1891,Katoomba Times,,horses | horse races | spectator sports,horses_reclassification_getty_aat,Item #9 - Horse race at Medlow (sporting event)
Mountain Mixtures.,29 April 1892,Katoomba Times,,horses | cattle | goring,horses_reclassification_getty_aat,Item #10 - Cow gored horse
[untitled],29 June 1889,Katoomba Times,,horses | horseborne transportation | horseback riding | runaway horse incidents,horses_reclassification_getty_aat,Item #11 - Barber's runaway horse and recreational riding
Local and General,7 July 1905,Mountaineer,,horses | horseborne transportation | horse-drawn vehicle accidents | runaway horse incidents,horses_reclassification_getty_aat,Item #12 - Sulky transport accident (horse bolted)
Katoomba Police Court,13 December 1895,Mountaineer,,horses | horseborne transportation | policing | constable,horses_reclassification_getty_aat,Item #13 - Constable's horse (police transport)
Megalong Valley.,15 September 1893,Katoomba Times,,horses | horseborne transportation | horseback riding accidents,horses_reclassification_getty_aat,Item #14 - Rider pulled from saddle while retrieving pony
Mountain Mixtures.,3 November 1893,Katoomba Times,,horses | horseborne transportation | horse-drawn vehicle accidents,horses_reclassification_getty_aat,Item #15 - Cart overturned accident
Mountain Mixtures.,25 November 1892,Katoomba Times,,horses | horseborne transportation | horse-drawn vehicle accidents,horses_reclassification_getty_aat,Item #16 - Commercial carter's cart over embankment
Accident in Nellie's Glen.,27 July 1889,Katoomba Times,,horses | horseborne transportation | horseback riding accidents,horses_reclassification_getty_aat,Item #17 - Rider fell 80 feet from horse
Megalong Matters.,10 January 1896,Unknown,,horses | horseborne transportation | horseback riding accidents,horses_reclassification_getty_aat,Item #18 - Horsemen encountering fallen tree obstacle
Megalong Valley.,23 June 1893,Unknown,,horses | horseborne transportation | postal services,horses_reclassification_getty_aat,Item #19 - Mailman's horse (postal delivery)
[untitled],29 June 1889,Katoomba Times,Drinking,drinking (alcohol),drinking_consolidation,Consolidate Drinking to Drinking (alcohol)
Katoomba Municipal Elections.,5 July 1890,Katoomba Times,Drinking,drinking (alcohol),drinking_consolidation,Consolidate Drinking to Drinking (alcohol) - item mentions drunkenness
Death of Mrs. Nimmo,3 December 1926,Blue Mountain Echo,Family Hotel,Katoomba Family Hotel | Mr Joe Nimmo | Mrs (Joe) Nimmo | Katoomba,family_hotels_rationalization,"Change generic ""Family Hotel"" to specific ""Katoomba Family Hotel"" - add owners and location"
Mountain Mixtures.,9 September 1892,Katoomba Times,Mining settlements,Nellie's Glen (settlement) | Nellie's Glen Shale Mine (site) | Ruined Castle Shale Mine (site),orphaned_tags_retagging_decisions,Mining settlements #1
Unionism of To-day.,1 September 1893,Katoomba Times,Mining settlements,Nellie's Glen (settlement) | Nellie's Glen Shale Mine (site),orphaned_tags_retagging_decisions,Mining settlements #2
Megalong Mines.,1 September 1893,Katoomba Times,Mining settlements | Trucking,Nellie's Glen (settlement) | Bonnie Doon Track | Nellie's Glen (gully) | miners' dwellings | truck system,orphaned_tags_retagging_decisions,Mining settlements #3 + Trucking
Great Wentworth Falls Coal and Shale Mining Company.,31 August 1885,Evening News,Mining settlements,Great Wentworth Falls Coal and Shale Mining Company,orphaned_tags_retagging_decisions,Mining settlements #4 - add company tag
Megalong Valley.,18 August 1893,Katoomba Times,Mining settlements,disease | Nellie's Glen (settlement) | Nellie's Glen Road | Break Neck Gully,orphaned_tags_retagging_decisions,Mining settlements #5
Mountain Mixtures,25 August 1893,Katoomba Times,Illness | Trucking,disease | truck system | cattle trucking yard,orphaned_tags_retagging_decisions,Trucking + Illness replacement
Mountain Mixtures.,21 October 1892,Katoomba Times,Rifle reserves,shooting | injury,orphaned_tags_retagging_decisions,Rifle reserves #1
Town Talk.,13 May 1904,Blue Mountain Gazette,Rifle reserves,cycling | bicycle club | rifle range | rifle club,orphaned_tags_retagging_decisions,Rifle reserves #2
Mountain Mixtures.,20 November 1891,Katoomba Times,Katoomba Coal and Shale Mines,Katoomba Coal and Shale Company,orphaned_tags_final_resolution,Company name variant
Testimonial to a Mine Manager.,9 August 1890,Katoomba Times,Katoomba Coal and Shale Mines,Katoomba Coal and Shale Company,orphaned_tags_final_resolution,Company name variant
A Charge of Rape.,6 September 1890,Nepean Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,26 April 1890,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
News in Brief,9 October 1903,Mountaineer,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,7 July 1893,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,21 October 1892,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Mixtures.,9 September 1892,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Local Jottings.,19 July 1890,Katoomba Times,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
Girls Cricket Match at Katoomba.,26 April 1895,Mountaineer,Hotels,hotel,high_impact_mappings,Corrected mapping to generic singular leaf
