title,date,publication,remove_tags,add_tags,source,notes
Kembla Disaster Survivor: Death of Mr. J. J. Meredith,25 November 1940,Lithgow Mercury,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
John Britty North.,6 March 1909,Blue Mountain Echo,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
[untitled],22 January 1906,Evening News,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
MINER INJURED AT KATOOMBA.,31 July 1905,Daily Telegraph,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Town Talk.,26 August 1904,Blue Mountain Gazette,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
The Katoomba Mines.,24 November 1903,Lithgow Mercury,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Town Talk.,2 October 1903,Blue Mountain Gazette,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Work at the Mines.,17 April 1903,Blue Mountain Gazette,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mountain Industries.,7 April 1903,Evening News,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
LOST IN A SHALE MINE.,15 April 1903,Evening News,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Our Coal and Shale Mines.,9 January 1903,Blue Mountain Gazette,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
The Katoomba Shale Mine.,6 January 1903,Lithgow Mercury,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba South Mines.,9 December 1902,Lithgow Mercury,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Katoomba Shale Mine. Work To Be Resumed.,2 December 1902,Lithgow Mercury,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mining.,15 June 1897,Evening News,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Current Events.,29 March 1897,Newcastle Morning Herald and Miners' Advocate,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Current Events.,26 October 1896,Newcastle Morning Herald and Miners' Advocate,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mining.,19 September 1896,Newcastle Morning Herald and Miners' Advocate,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
Mining.,25 August 1896,Evening News,Shale mines,shale mine,high_impact_mappings,Corrected mapping to generic singular leaf
